11,8.6667,7.25
42.333,46.333,56.5
487.67,375.67,448
1.6667,1.6667,2.25
230.67,237.67,246
494,420.67,450.5
62.333,45.667,43.25
605.67,556.67,592.75
700.67,786.67,820.25
339.67,314.67,310.25
229.33,254.33,248.5
589.33,506,510.25
0,1.3333,0.25
439.67,456.67,431.5
1316.3,755.67,752.25
0.33333,0,0
505,468,488.5
18.333,13.667,9
55.333,67.333,60
462.67,398.33,357.25
26.667,21,25.5
148.67,114.33,141.75
57,61,58.25
4,3.3333,7.75
7.6667,31.667,14.25
411,334.67,379.75
203.67,211.67,189.75
849.33,1017.7,1089
276.33,280.67,302.5
1159.3,981,1140
11,15.333,15.75
480,310.67,276
1033.3,642,628.75
180,189.33,179.25
156.67,156,180.25
738.67,736.67,723.25
146.33,121.33,140
15.333,23.667,25.75
25,29.667,28
1521.7,1726.7,1673.8
33.667,31,31.5
16,9.6667,13
0.33333,1,1
366.33,365.67,430.5
64,85,101
97,105.67,110.75
18,15.667,17.75
899.67,803.67,715.25
173,109.33,112.75
269,251.33,226.5
57.667,55.333,50.75
789.33,881,1057.3
64.333,72,74
872.67,812,695.75
193,206.67,232.5
319,285.33,311
153.33,126.67,153.25
3,2.6667,1.25
427,388.33,358.25
26,10.667,3.75
418.33,519.33,514.75
5,2,2.25
112.67,126.33,138.25
58,66.667,72.5
638.33,685.33,720.25
493.67,487.67,472
147.67,144.67,147.5
142.33,78,46.5
9.6667,6.3333,6.75
2.3333,15.667,10.75
621,658,678.75
2.6667,4.3333,4.5
377.67,427,410
977.33,1057,1190
109.33,155,156.75
789,899,1017
324.33,286,283.5
339,332.67,351.75
12.667,35,37.5
123.33,115,54.5
21.667,27.667,37
54.333,120,112
46,55,85
89.333,86.333,95.75
1741.3,1382.7,1379.8
143.33,129.33,127.25
71,55,51.25
7.6667,5,6
413.33,364.67,343
888,559.67,503
1,1,2.75
0.33333,0,0
0,0,0.25
4,3.3333,5.25
0.33333,0,0.25
67.667,64,66.75
9,5,9.75
1.6667,9,5.5
1,2.6667,2
0.33333,2.3333,1.25
7.3333,4.3333,6
1,2.6667,0.5
0.33333,0.33333,0.75
72.667,69,62
4.3333,11,7.25
4,3.6667,6
0.66667,0.33333,0
27,34.667,37.25
2.6667,4,2.5
28.333,29,29.75
33.333,47.333,40.75
57.667,40.667,46.75
2,5,3.5
134.33,221,282.5
162.67,195,212.5
21.333,30.667,23.75
72.333,20.667,19.75
0.33333,0.33333,0.25
0,0,0.5
15.667,18,20.75
122.33,142.67,216.75
0,0.33333,0
0,0.33333,0
0,0.33333,0
0.33333,1,0.75
2.6667,8.6667,10.5
7,10,8.25
275,206.67,210
1.6667,3,3
88.333,77,80.75
17.333,9,11.75
0.33333,0.33333,1
0,0.33333,0
4,5,5.5
1,0.33333,0
109.33,97.667,99.5
0,0,0.25
41,50,55.25
0.33333,0,0
0,0,0.75
30.333,45.333,88
21,16.667,24.25
0,0.33333,0
162,218,209.25
0,0.33333,0
0.66667,0.66667,1.25
2.3333,1.3333,2
173.67,163,171.5
1.6667,0.33333,0.75
0.66667,2.3333,1
0,0.33333,0
11.667,12.333,17.25
461.33,419.33,443.75
10.333,4,13.5
11.333,13.667,8.5
0,0,0.25
0,0.66667,0
6,2,2.75
3.6667,4,5.25
11.667,10,10.5
0.33333,0,1
3.3333,6,5.75
0.33333,0.66667,1.25
0.66667,0.33333,1.5
0.33333,0.33333,0
0,0,0.25
0,0.33333,0.25
12,7.6667,8.75
0,0.33333,1.5
775.33,429.33,342.25
0.33333,0.33333,1
1.3333,1.3333,3
5.6667,1.3333,3
2,3,3
4,5.6667,5.75
300.33,285.67,213.75
2.3333,1.3333,0.75
0.33333,2.6667,1.75
34.333,29.333,46.25
236.67,232,213.75
1,0,2.25
45.333,37.667,42.75
0.66667,0,0.5
0.33333,0.33333,0
7.6667,9,7.75
25.333,37.333,32.25
915.67,1361,1266.5
51.333,43.667,67.25
0.33333,0.33333,1.5
0,0,1
280.67,270.67,291.25
1876.3,1819.7,1828.5
1,3,3.5
1.6667,1.6667,2
5,6.3333,12.75
0,0,0.25
0.66667,2.6667,1.5
0.33333,0,0
38,27.333,43.25
3,3.6667,7.5
1,0,0.5
3.6667,9,8
0.33333,2.3333,4
1.6667,0.33333,1
1.6667,3.6667,4.75
0,0.33333,0
0.66667,1,0.25
5,5.6667,6
1071.7,1298.7,1255.5
0,0.33333,0
1.6667,1.3333,1.25
7.3333,19.667,15.75
4.6667,0.66667,3
0,0.33333,0.25
81,71.333,91.25
0.66667,0,0
0,0.33333,0.75
0,0,0.25
0,0.33333,0
5.3333,5.3333,7
0,0.33333,0.25
12.333,10,10.75
67.333,75,92.5
0,0,0.25
5.3333,7,9.75
0,0,0.25
0,0.33333,0
0,1,0.5
13.667,12.333,15.25
107.33,127.67,161
0.33333,0,0
0,1,0
1.6667,0,0.75
20.333,36.333,54.5
1.3333,1,2
46.333,60.333,56
161.67,140.67,162.25
0,0,0.25
0.33333,0.66667,0.5
0,0.33333,1.5
0.33333,0,0.25
7,3.6667,6
1.3333,1.6667,5.75
99.333,114.67,85.25
6,5.6667,5.75
122.67,165,144.5
53,40.667,44.25
637.67,619,655
0.66667,0.33333,0
2.3333,1.6667,4.5
15.667,14.667,20.25
1077.7,1004.3,926.75
0,0,0.25
0,0,0.25
0.33333,0,0.25
0.33333,0.33333,0
0.66667,0,0
0.66667,0.33333,0.5
5.6667,2.6667,8.25
0,0.33333,0.25
0,0.33333,0.25
330,326.33,329.75
14,15,13.25
90.667,63,78.25
1,0,1
129.33,151,166.25
2,1.3333,1.25
125.67,102.33,76
249,270,282.25
0,0,0.5
0,0,0.5
0.66667,4,1.25
7.6667,8.3333,3
1.6667,1.3333,0
1.3333,0,0.25
68.333,80,74.25
0,0,0.25
6.3333,8.3333,8.75
0,0.33333,0.75
23,62.667,98.75
0,1.3333,0.5
4.3333,6.6667,6.5
0,0,0.25
4,2,5
0.33333,0.33333,0
3.6667,0.33333,1.25
923,1120.7,1042
438.33,532.33,522.25
0,0,0.25
10.667,11,16
0.33333,0,0.25
2.3333,1.6667,1.25
718,924.67,762.5
2.3333,7,7.75
0,0.33333,0
1.6667,1,0.25
0,0,0.25
0.33333,0,0
901,482.67,532.5
6.3333,2,6.5
0,0.33333,0.25
0,0.33333,0.25
0.33333,0,0
31.667,45.667,47.75
92,78,86.75
1122.7,985.67,833.25
5.6667,3.6667,8.25
0.33333,0.33333,0.75
0,0.33333,0.25
1.6667,3,3
5,3.3333,2.5
128.67,136,166.75
53.667,54.667,55.25
3.3333,2.3333,2.5
23,27.333,26.75
2.6667,2.3333,2
62.333,57.667,50
0,0.66667,0
9.3333,5.6667,9.25
232,238,253.75
6.3333,3,3
9,11,10.75
0,0.33333,0
5.6667,8.3333,4.25
0,0,0.75
0,0.33333,0.25
18,32,25
0.66667,0.33333,2.5
44,55,54
7.3333,8.6667,9.25
0,0.33333,1
56,65.667,59.75
0,0,0.25
0,0,0.25
34,21.667,19.25
0.33333,0,0
4,2.6667,0.5
190.67,202.67,228
0,1.6667,3.25
0,0,0.5
41,48.333,45
0,0.33333,0
5.3333,2,3.25
0.66667,2.3333,1.25
0.66667,2,0.5
1.3333,1,0.5
19.333,30.333,32.25
394.67,309.33,324.75
2,0,0
33.667,39,40
0.33333,0.33333,0
2.3333,4,8
0.33333,0.66667,1
0.33333,0,0
0.33333,0.66667,0
0,0.33333,2.25
272,205.67,205.5
16,14.667,14.5
37.667,39.333,51.75
113,35.333,30
68.333,54,54.5
4,3,3.75
1.3333,1.6667,1.5
442,336.67,320
1100.3,1130,994
78,50.667,68.5
0.33333,0.66667,1.25
2.6667,0.33333,1
13,14,16.5
25.667,28,27
279.67,208.33,246.5
6.3333,6,8.5
280,260,259
1017.3,991.67,951.75
509.67,366.67,428.25
67.667,65.333,57
28,25.667,24.5
21.333,14.333,13
1201,965,811.5
404.33,517,452.5
478,490.33,480
167,159,149.5
13,9.6667,13.75
0,0.33333,0
0.33333,0,0
250.67,178.33,182.5
549.33,434.33,328.75
6.3333,3.6667,8.25
278.67,270.33,244.25
0.33333,0.33333,0.25
0.66667,2,1
163.33,128.67,132.25
20.667,13,15.75
0,0,0.25
38,39.667,33
2.6667,0.66667,1.5
4.3333,5,6.25
0.66667,0.66667,0.25
369,403.33,466.5
133.33,161,164.25
7.3333,6.6667,5.25
0.33333,0.33333,1
1024,1035,1074.3
3.6667,4.3333,4.75
178,164.33,165
1,2,1.25
1.3333,1,1
260.67,214,207.25
57,60.333,66
212,258.67,286.25
1.6667,0,1.25
0.66667,0,0
214.33,213.33,280.5
102.67,74.333,91
15.667,12.333,9
0,0,0.25
344,393,349.75
180.33,182.67,177.5
349,236.67,250.75
1222,1190.7,1336
505.67,473.33,524.5
0,0.66667,0.25
394,213.33,202
23,10.333,12
65.667,62,73.5
0,0,0.25
98,82,75
110,118.67,133.25
0.66667,0.66667,1
0,1,0.75
99.667,141.67,107
0.66667,0,0.25
8.3333,8,8.5
0,0,0.25
0.33333,0.33333,0.75
99.333,131.33,145
17,8.6667,9
26.333,34.667,16.75
16.667,21.667,17.25
9,7.3333,6.75
1.6667,1,2.5
0,0.33333,0.25
300.33,223,208.75
0.66667,1,0
0,1.6667,1
0.33333,1.6667,3
0.33333,0.33333,0
1.6667,0.66667,2.75
357.67,137.33,110.5
924.67,737.67,739.75
76.333,60.667,51
93.667,97.333,100.25
36,32.667,40
3.3333,3,1.75
525.33,435,414.5
2,2.6667,2.25
19,17.667,21
358.67,382.67,450.5
2,3.3333,4
0,0.33333,0
0,0,0.5
469.33,378.33,380.5
2103.7,2278,2274
13.333,24,15.75
326.67,258.33,243.25
0,0.33333,0
13.667,11.667,11.25
0.33333,0.33333,1
894.67,1081.7,1073
1084.3,901.33,935
64,46.333,43.5
13,14.333,19
91.667,122,106.75
0.33333,0,0
1886.7,1930,2246.5
260.67,220.67,243.25
487.33,597.33,588.5
101,148,142
0,0.33333,0.25
213.33,255,272.75
643,754.67,859.25
119.33,132,124.75
0.33333,0,0
0.33333,0.33333,0.25
1208,1086.3,1190.3
36,48.667,44
1.3333,0,1.25
62,60.333,53.5
0.66667,0,1.25
676.33,644,718.25
2.6667,2,1.5
353.67,398.67,387.75
4,5,9.25
61.667,54.333,62.25
61.333,63.333,121
266,224,235
0,0.33333,0
638,561.67,588.25
166.33,144,129.25
0,0,0.25
44.333,54.667,88.75
109.33,98.667,135.5
40,58,65.75
9,5.6667,7.75
319,526.67,516.5
38,48.333,56.25
0,0,0.25
1409.3,1403.3,1550.3
192.67,187.67,183.5
373,413.67,378
23.667,33.333,33.75
1.3333,0,2.75
67.333,65.333,88
188.33,191,197.25
0,3,2.5
1967.3,2173,2290
1468,1314,1219.8
838.67,660.67,587.25
20.333,17.667,33
1,0.33333,0
491.67,332.33,367.5
251.33,265.67,312.75
688.33,957.33,955
584.33,560.33,436.25
411.67,442.67,474.25
201.33,202.33,225.25
0,0,1
95.333,89,94.5
35.333,42.333,37
38.667,18.333,20.75
332.33,444.67,502
303.67,257.67,225.75
65,52,53.25
103.67,112,100.25
3.3333,0.33333,2
8.6667,15.333,12.5
560.67,403.33,387
15.333,6,6
160,208.33,226.75
22.333,16.667,27.75
2.6667,10.333,10.75
143.33,138.33,163
102.67,112.67,124.75
1100,918,978.5
59,53.667,51
8.3333,9,11.75
53.667,41.667,46.5
432.33,473,563.75
1353.7,1390,1487
73.333,77,108.5
79.333,82.333,70.25
2.3333,4.6667,6.25
49,41.667,50.5
9.3333,4.6667,3
8439.3,6104.3,5917
157,297.67,452.75
136,143.33,140
2.3333,4,2.5
0,0,1
659.33,590.33,614.5
47,20.333,14.75
55.333,42.667,53.75
52.333,62,54.25
162.33,135.33,149.25
422.67,419.33,446
35.667,45.333,58.75
929.67,852,1002
158.33,163.67,129.25
7,10.667,9
13.667,16,19.75
5.6667,3.6667,7.75
546.33,589,579.25
32,57,46
